,names,ratings,prices,images
0,"POCO M6 Pro 5G (Power Black, 128 GB)","2,299 Ratings & 170 Reviews","₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70
1,"POCO M6 Pro 5G (Power Black, 64 GB)","6,359 Ratings & 385 Reviews","₹10,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70
2,"POCO M6 Pro 5G (Forest Green, 64 GB)","6,359 Ratings & 385 Reviews","₹10,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/9/i/m6-pro-5g-mzb0eqjin-poco-original-imags3e7dazavyje.jpeg?q=70
3,"POCO C51 (Power Black, 64 GB)","61,894 Ratings & 3,435 Reviews","₹6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70
4,"POCO C51 (Royal Blue, 64 GB)","61,894 Ratings & 3,435 Reviews","₹6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
5,"POCO C50 (Royal Blue, 32 GB)","55,472 Ratings & 2,701 Reviews","₹5,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
6,"POCO C55 (Cool Blue, 128 GB)","41,254 Ratings & 2,442 Reviews","₹8,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
7,"POCO C31 (Shadow Gray, 64 GB)","2,27,970 Ratings & 14,072 Reviews","₹6,499",https://rukminim2.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70
8,"POCO C55 (Power Black, 128 GB)","41,254 Ratings & 2,442 Reviews","₹8,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
9,"POCO C50 (Country Green, 32 GB)","55,472 Ratings & 2,701 Reviews","₹5,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
